id,name,price,original_price,discount,rating,review_count,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,product_type
252051816,Yến Mạch Nguyên Chất Ăn Liền Xuân An [ko đường] Túi 3Kg[cán vỡ](Giảm 20%),420000,420000,0,5,2,,,,,,,,,,yến mạch nguyên chất ăn liền
248106505,Trà Giảo Cổ Lam hộp 30 Túi Lọc x 3Gram của Siêu Thị Thiên Nhiên,43000,43000,0,0,0,,,,,,,,,,trà giảo cổ lam hộp túi
207376147,Chai Xịt Khử Mùi Chuồng Trại Cho Chó Mèo Thú Cưng FAY Deodor 350ml và 600ml,65000,65000,0,4.5,2,,,,,,,,,,chai xịt khử mùi
200521038,Rượu vang Tây Ban Nha Coleccion Garnacha không kèm túi và phụ kiện rượu,390000,390000,0,5,1,,,,,,,,,,rượu vang tây ban nha coleccion
197645733,Thức ăn cho mèo mọi lứa tuổi Catsrang,95000,95000,0,5,1,,,,,,,,,,thức ăn mèo lứa tuổi
193589687,Hạt Bí Trắng Rang Tay VIETTIN MART 500G,85000,85000,0,4.5,2,,,,,,,,,,hạt bí trắng rang tay
173391154,Cà Phê Hạt Strong Blend,478543,478543,0,5,3,,,,,,,,,,cà phê hạt strong
173299806,Sữa Tắm SOS Cho Chó Mèo,530,67000,67000,0,0,,,,,,,,,,sữa tắm sos chó
171944692,Giấm táo hữu cơ Bragg - Organic Apple Cider Vinegar,215000,215000,0,0,0,,,,,,,,,,giấm táo hữu cơ bragg organic
166088614,Combo 2 Đường Phèn Biên Hòa Pro 500 Gram/túi,73200,73200,0,5,3,,,,,,,,,,combo đường phèn biên hòa pro
164584842,MỨT GỪNG SẤY KHÔ (LÁT MỎNG) THÀNH LONG 500G,227000,227000,0,5,15,,,,,,,,,,mứt gừng sấy khô thành
164052141,HẠT BÍ RANG MUỐI - THÀNH LONG 500G - VIỆT NAM,216000,216000,0,0,0,,,,,,,,,,hạt bí rang muối thành
162195517,Xốt Gia Vị Hoàn Chỉnh Barona - Thịt Kho Tàu 80g,13400,13400,0,5,5,,,,,,,,,,xốt gia vị hoàn chỉnh barona
72302891,Gà Chà Bông Thơm Ngon Chất Lượng Thương Hiệu SK FOOD - Hũ 150G,70000,70000,0,4.6,69,,,,,,,,,,gà chà bông thơm ngon
52183799,Sốt gà hầm xương Hirokishoko Nhật Bản - 500g,215000,215000,0,5,34,,,,,,,,,,sốt gà hầm xương
46231905,200g hạt hạnh nhân,80000,80000,0,0,0,,,,,,,,,,hạt
44364149,Bánh Mì Gan Panettone Madi Italian Cake Nhập Khẩu Ý (1000g),399000,399000,0,4.7,217,,,,,,,,,,bánh mì gan panettone madi
43184557,Thức ăn hạt cho mèo Hàn Quốc Catsrang,60000,60000,0,4.6,20,,,,,,,,,,thức ăn hạt mèo hàn quốc
35848346,Cà Phê Rang Xay Expert Blend 3 KING COFFEE - Túi 500g,203500,236600,33100,4.7,51,,,,,,,,,,cà phê rang xay expert
27857250,Thức ăn hạt cho mèo mọi lứa tuổi CATSRANG,52000,52000,0,1,1,,,,,,,,,,thức ăn hạt mèo lứa
25412384,Thùng 24 Chai Nước Tăng Lực Có Gas Warrior Vị Nho (330ml x 24 chai),279600,300000,20400,4.8,109,,,,,,,,,,thùng chai nước tăng lực
16608355,Gừng Sấy Dẻo Sữa Ong Chúa Hương Sen Việt,35000,35000,0,4.5,76,,,,,,,,,,gừng sấy dẻo sữa
1718003,Bộ Huấn Luyện Mèo Đi Vệ Sinh Citikitty Kún Miu,150000,150000,0,0,0,,,,,,,,,,bộ huấn luyện mèo đi
278878607,Trung Nguyên Legend - Cà phê sữa hòa tan G7 3IN1 Gold - Picasso Latte và balo/túi BGN,80000,89175,9175,5,1,,,,,,,,,,trung nguyên legend cà phê sữa
278768347,Thùng 24 lon Bia Lager Huda (330ml/lon) - Độ cồn 4.7%,342000,342000,0,0,0,,,,,,,,,,thu ng bia lager
278574793,[ ĐƠN 399K TẶNG PHIN PHA CÀ PHÊ HIGHLANDS] Cà phê Rang xay Moka Highlands Coffee 200g,145000,145000,0,5,4,,,,,,,,,,cà phê rang xay moka
278530633,Vi sinh viên nén Sunsun Nitrifying Bacteria Tablet xử lý khử độc làm trong nước bể cá tép thủy sinh,27000,27000,0,0,0,,,,,,,,,,vi sinh viên nén sunsun nitrifying
278425135,Thùng 48 hộp sữa đậu nành cao canxi Vinamilk 180ml,171000,249000,78000,0,0,,,,,,,,,,thùng hộp sữa đậu nành cao canxi
277570655,[TẶNG GỐI] Thùng 48 Hộp Sữa Nestlé MILO A2 MỚI  (180ml / Hộp),343000,478000,135000,4.8,5,,,,,,,,,,thùng hộp sữa nestlé
276432511,Hộp 10 gói Xốt gia vị nền Maggi Kho mía,109000,200000,91000,0,0,,,,,,,,,,hộp gói xốt gia vị
276282150,Bóng Đồ Chơi Bóng Cao Su Cho Chó Hình Quả Tạ Kèm Dây Thừng,39000,39000,0,0,0,,,,,,,,,,bóng đồ chơi bóng cao su
273188835,Thùng 48 hộp Sữa lúa mạch hương socola LOF MALTO 180ml/hộp,305000,468000,163000,4.8,11,,,,,,,,,,thùng hộp sữa lúa
273123104,Thùng 12 Sữa tươi tiệt trùng Không đường Vinamilk Green Farm - hộp 1L,450000,557000,107000,5,4,,,,,,,,,,thùng sữa tươi tiệt trùng
271413523,Thùng 24 Lon Nước Uống Có Gaz 7Up Soda Chanh (320ml/lon),238800,274620,35820,5,6,,,,,,,,,,thùng lon nước uống
252004018,Đậu Xanh Đã Bóc Vỏ Viettin Mart 1Kg,85000,85000,0,4,1,,,,,,,,,,đậu xanh bóc vỏ
209297479,COMBO 5 Gói Thức Ăn Hạt Cho Mèo Con Và Mèo Lớn Vị Cá Ngừ Minino Tuna Flavored 480g,199000,199000,0,5,1,,,,,,,,,,combo gói thức ăn hạt
207564326,(COMBO 2 HỘP) GỪNG SẤY DẺO SỮA ONG CHÚA HỘP 90G - HƯƠNG SEN VIỆT,150000,150000,0,4.5,2,,,,,,,,,,gừng sấy dẻo sữa
185788111,RONG NHO TÁCH NƯỚC HẢI NAM OKINAWA,79000,79000,0,0,0,,,,,,,,,,rong nho tách nước
174247255,Trung Nguyên Legend - Cà phê hòa tan G7 3in1 - Bịch 50 sachets x 16gr (gói vuông),196937,196937,0,5,184,,,,,,,,,,trung nguyên legend cà phê hòa
169920670,Combo 2 Đường túi Pure Biên Hòa 1kg/túi,67000,67000,0,5,4,,,,,,,,,,combo đường túi pure
169920570,Combo 2 Đường ăn kiêng Isomalt 5g (hộp 250g)/Hộp,127600,127600,0,5,1,,,,,,,,,,combo đường ăn kiêng isomalt
166498708,Đặc Sản Kon Tum - 500g Khổ qua rừng nguyên trái hỗ trợ tiểu đường hiệu quả - OCOP 3 Sao,244000,244000,0,5,10,,,,,,,,,,đặc sản kon tum khổ qua rừng
146932980,Sữa Tắm Dành Riêng Cho Chó Mèo OLIVE ESSENCE 450ml,65000,65000,0,0,0,,,,,,,,,,sữa tắm dành riêng
138143434,Quế Thanh Doispice đặc sản Yên Bái 25g,25000,25000,0,4.8,13,,,,,,,,,,quế thanh doispice đặc sản
116143710,Trần Bì (Vỏ quýt sấy đường) Thơm Ngon DTFood,49000,49000,0,4.8,17,,,,,,,,,,trần bì thơm ngon
109837393,Xốt Gia Vị Hoàn Chỉnh Barona - Kho Riềng 80g,13400,13400,0,4.8,6,,,,,,,,,,xốt gia vị hoàn chỉnh barona
98769720,COMBO 2 gói Trà ổi nguyên chất Orihiro,276000,276000,0,0,0,,,,,,,,,,combo gói trà ổi
74857009,Bột đậu gà chưa rang 250g,31000,31000,0,5,1,,,,,,,,,,bột đậu gà rang
74556429,SHIN Cà Phê - Espresso Classico 1Kg Hạt - Cà Phê Nguyên Chất Pha Máy,505000,505000,0,4,2,,,,,,,,,,shin cà phê espresso
59505583,Nho Khô Nhập Khẩu Cao Cấp Thương Hiệu SK FOOD - 1Kg 2 Hũ,220000,220000,0,4.5,187,,,,,,,,,,nho khô nhập khẩu cao cấp
59178438,Trung Nguyên Legend - Cà phê sữa hòa tan G7 3in1 gu mạnh - Hộp 12 gói x 25gr,72000,77806,5806,5,143,,,,,,,,,,trung nguyên legend cà phê sữa
55606287,ĐẬU HÀ LAN MUỐI SẤY GIÒN NGON HIỆU SK FOOD - HŨ 500G,80000,80000,0,4.7,25,,,,,,,,,,đâ
49470027,Thùng Mì Cung Đình Kool BBQ Sườn Nướng Kiểu Hàn Quốc (99g x 12 hộp),173000,187000,14000,4.6,9,,,,,,,,,,thùng mì cung đình kool
23367766,(Bộ) Dây dắt chó police phản quang - dây dắt kèm yếm đai yên ngựa cho chó cảnh sát gồm dây dắt và đai yếm Màu ngẫu nhiên,89000,89000,0,4.5,26,,,,,,,,,,dây dắt chó police
12542975,Đặc Sản Bến Tre - Nước Màu Dừa Bến Tre A Tuấn Khang (120G) - Ocop 4 Sao,20000,20000,0,4.7,7,,,,,,,,,,đặc sản bến tre nước
2868893,Kéo cắt móng cho chó mèo nhỏ,15000,15000,0,5,2,,,,,,,,,,kéo cắt móng chó
278692209,Cozy Icetea Đào 16 gói x 15g Hộp,48000,48000,0,0,0,,,,,,,,,,cozy icetea đào gói
278678943,Trung Nguyên Legend - Cà phê sữa hoà tan rang xay 3in1 Classic - Bịch 50 gói x 17gr,223000,223000,0,5,6,,,,,,,,,,trung nguyên legend cà phê sữa
278678863,Trung Nguyên Legend - Cà phê sữa hoà tan rang xay 3in1 Special Edition - Hộp 18 gói x 25gr,156000,156000,0,5,2,,,,,,,,,,trung nguyên legend cà phê sữa
278520106,Xoài Sấy Dẻo Muối Ớt Tân Lộc Phát Túi 50g Trái Cây Sấy Dẻo Yêu Thích,47000,47000,0,0,0,,,,,,,,,,xoài sấy dẻo muối
277250975,Rượu Chuối hột Phú Lễ 26 %vol,120000,120000,0,5,1,,,,,,,,,,rượu chuối hột phú lễ
276578651,NHO VÀNG SẤY KHÔ TÂN LỘC PHÁT,137000,137000,0,4.5,51,,,,,,,,,,nho vàng sấy khô tân lộc
276138356,Cà phê viên nén Nespresso - Carraro Single Origin - Hộp 10 viên - Nhập khẩu chính hãng từ Ý,118800,118800,0,0,0,,,,,,,,,,ca phê viên ne n
275645086,Thùng 48 Hộp Sữa Tươi Tiệt Trùng Dutch Lady Cô Gái Hà Lan ít đường 180ml,450000,552000,102000,5,7,,,,,,,,,,thùng hộp sữa tươi tiệt
273821835,Thùng 6 Lốc Mì Rong Biển vị Ngao Koreno (5 gói/Lốc),300000,337451,37451,3,2,,,,,,,,,,thùng lốc mì rong
